ppm,x=0.5 xPbO.(1-x)B2O3
2985.9275, 122668.875000
2985.1984, 719035.125000
2984.4693, 745461.625000
2983.7402, 868738.500000
2983.0112, 1178300.000000
2982.2821, 618827.125000
2981.5530, 626052.875000
2980.8239, 1024155.125000
2980.0949, 907650.375000
2979.3658, 1422023.000000
2978.6367, 932345.750000
2977.9076, 724171.750000
2977.1786, 835583.750000
2976.4495, 300186.750000
2975.7204, 1057453.250000
2974.9913, 593405.000000
2974.2623, 375854.500000
2973.5332, 575118.750000
2972.8041, 1336533.375000
2972.0750, 1429889.250000
2971.3460, 1017123.375000
2970.6169, 1776565.250000
2969.8878, 1280226.875000
2969.1587, 1154214.250000
2968.4297, 1950994.125000
2967.7006, 1560042.625000
2966.9715, 730594.000000
2966.2424, 310396.000000
2965.5134, 468506.375000
2964.7843, 174685.500000
2964.0552, 1016891.000000
2963.3261, 866238.875000
2962.5971, 218755.375000
2961.8680, 859577.750000
2961.1389, 457812.000000
2960.4098, 575949.375000
2959.6808, 569950.250000
2958.9517, 630095.500000
2958.2226, 325747.250000
2957.4935, 1094235.250000
2956.7645, 1735895.250000
2956.0354, 1059762.875000
2955.3063, 671040.875000
2954.5772, 685036.500000
2953.8481, 901517.250000
2953.1191, 1366068.250000
2952.3900, 998814.500000
2951.6609, 755580.250000
2950.9318, 222584.375000
2950.2028, 879544.750000
2949.4737, 1244262.875000
2948.7446, 672778.875000
2948.0155, 103405.125000
2947.2865, 217737.875000
2946.5574, 553596.000000
2945.8283, 620796.500000
2945.0992, 996714.000000
2944.3702, 1060871.750000
2943.6411, 461284.125000
2942.9120, 300025.125000
2942.1829, 552316.750000
2941.4539, 724652.500000
2940.7248, 824673.500000
2939.9957, 966533.500000
2939.2666, 452243.750000
2938.5376, 908168.000000
2937.8085, 1806145.125000
2937.0794, 1337152.250000
2936.3503, 251047.000000
2935.6213, 980800.625000
2934.8922, 659052.875000
2934.1631, 386596.375000
2933.4340, 969816.000000
2932.7050, 969534.250000
2931.9759, 715330.000000
2931.2468, 530190.875000
2930.5177, 577738.750000
2929.7887, 1042749.625000
2929.0596, 1288340.875000
2928.3305, 773617.625000
2927.6014, 154147.500000
2926.8724, 512652.125000
2926.1433, 228272.250000
2925.4142, 937178.250000
2924.6851, 949434.125000
2923.9561, 147591.125000
2923.2270, 1035376.875000
2922.4979, 1308743.250000
2921.7688, 775811.250000
2921.0398, 496345.000000
2920.3107, 699519.750000
2919.5816, 278594.000000
2918.8525, 1200561.750000
2918.1235, 1620600.250000
2917.3944, 811468.500000
2916.6653, 814866.000000
2915.9362, 1192070.750000
2915.2072, 394494.000000
2914.4781, 794300.750000
2913.7490, 1058546.125000
2913.0199, 421259.500000
2912.2909, 495046.375000
2911.5618, 1208950.500000
2910.8327, 1677533.875000
2910.1036, 1960612.500000
2909.3746, 1641611.875000
2908.6455, 518074.500000
2907.9164, 682999.500000
2907.1873, 1173033.625000
2906.4583, 1393890.625000
2905.7292, 1300891.875000
2905.0001, 322949.875000
2904.2710, 920771.250000
2903.5420, 1393334.500000
2902.8129, 1378254.750000
2902.0838, 1140784.250000
2901.3547, 435420.875000
2900.6257, 342928.375000
2899.8966, 240937.125000
2899.1675, 1034869.625000
2898.4384, 1100372.000000
2897.7094, 536936.250000
2896.9803, 1181065.125000
2896.2512, 1049980.250000
2895.5221, 242784.500000
2894.7931, 242175.500000
2894.0640, 508813.375000
2893.3349, 729752.000000
2892.6058, 564210.875000
2891.8768, 513579.000000
2891.1477, 820761.750000
2890.4186, 1425019.500000
2889.6895, 1102152.625000
2888.9605, 604575.000000
2888.2314, 1889591.125000
2887.5023, 1946510.375000
2886.7732, 997889.125000
2886.0442, 267220.250000
2885.3151, 15071.000000
2884.5860, 183858.875000
2883.8569, 657819.625000
2883.1279, 1436049.000000
2882.3988, 1600459.875000
2881.6697, 1003323.375000
2880.9406, 425580.000000
2880.2116, 478375.500000
2879.4825, 398245.000000
2878.7534, 121720.750000
2878.0243, 536316.625000
2877.2953, 1365419.875000
2876.5662, 1684832.625000
2875.8371, 1174675.500000
2875.1080, 1380879.000000
2874.3790, 1514355.125000
2873.6499, 598887.000000
2872.9208, 1240776.000000
2872.1917, 1306486.000000
2871.4627, 290939.125000
2870.7336, 476911.625000
2870.0045, 396141.500000
2869.2754, 1271167.500000
2868.5464, 1836750.750000
2867.8173, 1460502.750000
2867.0882, 880589.250000
2866.3591, 1196677.875000
2865.6301, 1062930.375000
2864.9010, 744172.375000
2864.1719, 606119.250000
2863.4428, 857746.500000
2862.7138, 1524288.250000
2861.9847, 789481.625000
2861.2556, 938373.000000
2860.5265, 1580196.125000
2859.7975, 678675.500000
2859.0684, 260489.875000
2858.3393, 620346.375000
2857.6102, 2091518.750000
2856.8812, 2307489.500000
2856.1521, 882568.250000
2855.4230, 1694232.875000
2854.6939, 1751443.875000
2853.9649, 772220.375000
2853.2358, 1335032.625000
2852.5067, 1312991.000000
2851.7776, 886523.750000
2851.0486, 558262.750000
2850.3195, 225910.625000
2849.5904, 819753.000000
2848.8613, 1676813.500000
2848.1323, 1712073.250000
2847.4032, 1811560.375000
2846.6741, 1764024.375000
2845.9450, 524808.375000
2845.2160, 1553095.875000
2844.4869, 1528995.750000
2843.7578, 456987.250000
2843.0287, 953170.375000
2842.2997, 514777.000000
2841.5706, 1659592.750000
2840.8415, 1441341.000000
2840.1124, 468146.625000
2839.3834, 1349144.500000
2838.6543, 1087011.875000
2837.9252, 1914503.750000
2837.1961, 1923537.250000
2836.4671, 719004.875000
2835.7380, 1069270.250000
2835.0089, 719272.750000
2834.2798, 413747.500000
2833.5508, 983104.750000
2832.8217, 1070067.125000
2832.0926, 1115627.125000
2831.3635, 812200.375000
2830.6345, 649886.375000
2829.9054, 747334.125000
2829.1763, 1034534.750000
2828.4472, 1125704.625000
2827.7182, 1244511.875000
2826.9891, 883441.625000
2826.2600, 640454.250000
2825.5309, 1705747.625000
2824.8019, 1355338.250000
2824.0728, 436037.125000
2823.3437, 1215464.375000
2822.6146, 1175061.375000
2821.8856, 1321332.000000
2821.1565, 878296.125000
2820.4274, 1187372.875000
2819.6983, 1690242.000000
2818.9693, 521875.250000
2818.2402, 1754757.750000
2817.5111, 2506626.500000
2816.7820, 1828524.125000
2816.0530, 1309744.750000
2815.3239, 837795.250000
2814.5948, 811081.250000
2813.8657, 1006473.500000
2813.1367, 574132.625000
2812.4076, 454544.125000
2811.6785, 671745.250000
2810.9494, 948641.250000
2810.2204, 440183.625000
